select,count
amazing,77715
thanks,62452
awesome,47694
entertaining,41958
informative,40262
hilarious,34445
wonderful,24546
deep,24156
nice,21561
insightful,20536
inspiring,15639
sad,13421
refreshing,13196
unique,12194
engaging,12154
valuable,10639
relevant,10585
fascinating,9391
boring,8570
original,6923
very interesting,6588
inspirational,5427
very good,5080
loved this,3946
would recommend,3940
lovely,3788
intriguing,3241
exciting,3062
motivating,2450
frustrating,2211
captivating,2163
surprising,1708
dull,1452
confusing,1325
thought-provoking,1243
irritating,1196
well-researched,1167
waste of time,1076
cheap,1047
not good,968
cheesy,956
useless,865
pointless,803
mundane,788
very useful,777
gripping,696
shallow,681
satisfying,593
exhausting,569
vague,550
stimulating,535
promising,503
misleading,490
not bad,473
tedious,459
superficial,439
memorable,389
hate this,384
provocative,352
thrilling,336
timeless,335
sophisticated,323
nothing new,305
very bad,275
worthless,274
flawed,262
not interesting,223
not boring,222
overrated,217
intricate,211
no good,205
simplistic,202
would not recommend,174
not very good,158
unoriginal,146
mind-blowing,137
unfocused,125
instructive,124
convoluted,122
powerfull,108
was very good,105
persuasive,75
not relevant,71
ambiguous,67
exhilarating,66
no new information,45
not very interesting,42
not too bad,41
overhyped,33
not informative,31
unconvincing,30
uninspiring,23
unremarkable,22
not insightful,22
was useful,22
dissapointing,19
not useful,15
nonesense,10
nothing valuable,7
not very useful,6
recommend watching this,2
not very relevant,2
incoherant,1
